"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","HFO2(WT%)","THO2(WT%)","UO2(WT%)","UO3(WT%)","AL2O3(WT%)","CR2O3(WT%)","LA2O3(WT%)","CE2O3(WT%)","CEO2(WT%)","ND2O3(WT%)","SM2O3(WT%)","EU2O3(WT%)","GD2O3(WT%)","DY2O3(WT%)","ER2O3(WT%)","Y2O3(WT%)","V2O3(WT%)","V2O5(WT%)","NB2O3(WT%)","NB2O5(WT%)","TA2O3(WT%)","TA2O5(WT%)","PR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","PBO(WT%)","SNO2(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","F(WT%)","CL(WT%)","OH(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","FE(WT%)","NA(WT%)","HE(MOL/G)","LI(PPM)","BE(PPM)","B(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","SI(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","CD(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","TL(PPM)","PB(PPM)","PB204(PPM)","PB206(PPM)","PB207(PPM)","PB208(PPM)","BI(PPM)","TH(PPM)","TH232(PPM)","U(PPM)","U238(PPM)","ND143_ND144","ND145_ND144","ND146_ND144","ND148_ND144","ND150_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB206_PB204","PB206_PB207","PB206_PB208","PB207_PB204","PB207_PB206","PB208_PB204","PB208_PB206","CE138_CE142","LA138_CE142","PB206_U238","PB207_U235","PB208_TH232","RA226_TH230_ACT","TH230_TH232_ACT","TH230_U238_ACT","U234_U238_ACT","U238_PB204","U238_PB206","U238_TH232_ACT","D18O(‰)","D18O(‰VSMOW)","CHROMITE(MOL%)","HERCYNITE(MOL%)","JACOBSITE(MOL%)","MG-CHROMITE(MOL%)","MAGNESIOFERRITE(MOL%)","MAGNETITE(MOL%)","SPINEL(MOL%)","ULVOSPINEL(MOL%)","AGE(KA)","AGE(MA)",
"[743] FRIKH-KHAR D. I. (1988)","samp. 1","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL","14.9","14.9","-24.3","-24.3","subaerial","","","CARBONATITE","","","","","TITANITE (SPHENE)","","","","","primary","30.52","30.05","0","","","","","0.17","","0","0","","0","","","","","","","","","1.3","","","","","","","","1.47","25.7","","0.04","","","","","","","","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[743] FRIKH-KHAR D. I. (1988)","samp. 2","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL","14.9","14.9","-24.3","-24.3","subaerial","","","PHONOLITE","","","","","TITANITE (SPHENE)","","","","","primary","30.35","34.93","","","","","","1.87","","0.25","0.66","","0.17","","","","","","0.17","","","","","","","","","","","1.75","25.25","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[743] FRIKH-KHAR D. I. (1988)","samp. 2","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL","14.9","14.9","-24.3","-24.3","subaerial","","","PHONOLITE","","","","","TITANITE (SPHENE)","","","","","primary","29.18","35.51","","","","","","1.4","","0.27","0.85","","0.29","","","","","","0","","","","","","","","","","","1.62","25.28","","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[743] FRIKH-KHAR D. I. (1988)","samp. 2","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL","14.9","14.9","-24.3","-24.3","subaerial","","","PHONOLITE","","","","","TITANITE (SPHENE)","","","","","primary","29.88","36.16","0.16","","","","","1.53","","0.12","0.64","","0.51","","","","","","0.08","","","0.4","","","","","","","","1.39","25.39","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[766] DIXON T. H. (1984)","samp. P-6A","OCEAN ISLAND","CAROLINE ISLANDS / PONAPE","NEAR ROAD ALONG THE COAST OF THE LAGOON NEAR UH JUST SOUTH OF NAN-UH","6.9","6.9","-158.25","-158.25","subaerial","","","BASANITE","","","","fresh","TITANITE (SPHENE)","","","","","primary","30.53","36.38","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","0.83","","28.81","0.04","0.19","","","","","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[766] DIXON T. H. (1984)","samp. P-6A","OCEAN ISLAND","CAROLINE ISLANDS / PONAPE","NEAR ROAD ALONG THE COAST OF THE LAGOON NEAR UH JUST SOUTH OF NAN-UH","6.9","6.9","-158.25","-158.25","subaerial","","","BASANITE","","","","fresh","TITANITE (SPHENE)","","","","","primary","29.42","37.13","","","","","","1.36","","","","","","","","","","","","","","","","","","","","","1.13","","28.63","0.03","0.05","","","","","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[932] FERGUSON A. K. (1978)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","","28","28.6","-16.1","-16.9","subaerial","","","SYENITE, NEPHELINE","","","","","TITANITE (SPHENE)","","","","","primary","30","38.8","0.11","","","","","","","0.4","","1","","","","","","","0.17","","","","1.37","","0.43","","0.49","","","","23.5","","0.1","","","","","","","","1.88","","0.6","1.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[1858] HELLMAN P. L. (1981)","samp. PLH2","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","BHOIWADA SECTION, BOMBAY ISLAND, ZONE 2","18.9","18.9","72.85","72.85","subaerial","30","30","THOLEIITE","","","","","TITANITE (SPHENE)","","","","","secondary","33.18","30.69","","","","","","2.98","","","","","","","","","","","","","","","","","","","","","","3.3","27.42","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[1929] HELLMAN P. L. (1985)","samp. 4_SPHENE","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","BHOIWADA SECTION, BOMBAY ISLAND","18.9","18.9","72.85","72.85","subaerial","","","BASALT","","","","","TITANITE (SPHENE)","","","","","secondary","31.5","31.02","","","","","","2.91","","","","","","","","","","","","","","","","","","","","","2.59","","29.63","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[1929] HELLMAN P. L. (1985)","samp. 5_SPHENE","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","BHOIWADA SECTION, BOMBAY ISLAND","18.9","18.9","72.85","72.85","subaerial","","","BASALT","","","","","TITANITE (SPHENE)","","","","","secondary","32.23","29.09","","","","","","3.92","","","","","","","","","","","","","","","","","","","","","3.17","","28","0.1","","","","","","","","0.5","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
